Warona Klaas | operation insert count 0 | operation find count = 15
Omaatla Adams | operation insert count 11 | operation find count = 21
Caleb Modise | operation insert count 10 | operation find count = 23
Bayanda Nkuna | operation insert count 10 | operation find count = 21
Remofilwe Maluleke | operation insert count 11 | operation find count = 23
Okuhle Maseko | operation insert count 9 | operation find count = 23
Philasande Cloete | operation insert count 11 | operation find count = 21
Lingomso Booysen | operation insert count 11 | operation find count = 23
Remofilwe Visagie | operation insert count 10 | operation find count = 17
Alunamda Witbooi | operation insert count 12 | operation find count = 19
Lingomso Maluleke | operation insert count 10 | operation find count = 15
Phenyo Moloi | operation insert count 10 | operation find count = 21
Bokamoso Tshabalala | operation insert count 11 | operation find count = 17
Kamogelo Buthelezi | operation insert count 10 | operation find count = 15
Alunamda Klaas | operation insert count 10 | operation find count = 21
Omaatla Dyantyi | operation insert count 12 | operation find count = 19
Reatlegile Mkhize | operation insert count 11 | operation find count = 21
Omphile Khoza | operation insert count 10 | operation find count = 21
Ava Adams | operation insert count 11 | operation find count = 21
Kamogelo Klaas | operation insert count 10 | operation find count = 15
Luke Beukes | operation insert count 12 | operation find count = 19
Enzokuhle Ngwenya | operation insert count 11 | operation find count = 19
Omaatla Khoza | operation insert count 6 | operation find count = 15
Onthatile Cloete | operation insert count 11 | operation find count = 21
Tshegofatso Malatji | operation insert count 11 | operation find count = 21
Amohelang Peter | operation insert count 11 | operation find count = 19
Tshegofatso Cloete | operation insert count 11 | operation find count = 17
Esihle Davids | operation insert count 9 | operation find count = 19
Alwande Ngcobo | operation insert count 11 | operation find count = 21
Enzokuhle Ngwenya | operation insert count 12 | operation find count = 21
Luke Hendricks | operation insert count 10 | operation find count = 21
Luthando Motloung | operation insert count 9 | operation find count = 19
Lubanzi Van | operation insert count 10 | operation find count = 21
Karabo Mudau | operation insert count 11 | operation find count = 23
Caleb Tshabalala | operation insert count 9 | operation find count = 15
Joshua Booysen | operation insert count 9 | operation find count = 21
Okuhle Baloyi | operation insert count 11 | operation find count = 15
Remofilwe Mnisi | operation insert count 10 | operation find count = 21
Siyabonga Madikizela | operation insert count 11 | operation find count = 17
Omphile Mthembu | operation insert count 11 | operation find count = 15
Omaatla Mosia | operation insert count 12 | operation find count = 23
Iminathi Smith | operation insert count 10 | operation find count = 19
Amohelang Sithole | operation insert count 10 | operation find count = 21
Asemahle Abrahams | operation insert count 10 | operation find count = 21
Amogelang Dyantyi | operation insert count 11 | operation find count = 21
Junior Radebe | operation insert count 10 | operation find count = 19
Lethabo Mthembu | operation insert count 11 | operation find count = 19
Bokang Maluleke | operation insert count 10 | operation find count = 17
Omphile Nkosi | operation insert count 11 | operation find count = 15
Lisakhanya Ngcobo | operation insert count 11 | operation find count = 19
Siyabonga Mthembu | operation insert count 10 | operation find count = 17
Enzokuhle Ndou | operation insert count 10 | operation find count = 13
Othalive Motaung | operation insert count 11 | operation find count = 17
Isabella Mahlangu | operation insert count 10 | operation find count = 21
Letlotlo Mthembu | operation insert count 11 | operation find count = 23
Onthatile Booysen | operation insert count 8 | operation find count = 19
Esihle Buthelezi | operation insert count 11 | operation find count = 17
Emihle Klaas | operation insert count 11 | operation find count = 19
Omaatla Mnisi | operation insert count 10 | operation find count = 23
Thandolwethu Ngwenya | operation insert count 11 | operation find count = 17
Lubanzi Cloete | operation insert count 11 | operation find count = 17
Rorisang Baloyi | operation insert count 11 | operation find count = 23
Katleho Khumalo | operation insert count 11 | operation find count = 17
Siyabonga Khumalo | operation insert count 11 | operation find count = 19
Warona Klaas | operation insert count 11 | operation find count = 19
Melokuhle Molefe | operation insert count 11 | operation find count = 21
Relebohile Abrahams | operation insert count 11 | operation find count = 19
Luthando Booysen | operation insert count 12 | operation find count = 19
Caleb Ngcobo | operation insert count 12 | operation find count = 17
Alwande Mohlala | operation insert count 11 | operation find count = 23
Kamogelo Smith | operation insert count 10 | operation find count = 23
Lingomso Ndlovu | operation insert count 6 | operation find count = 11
Junior Nkuna | operation insert count 9 | operation find count = 19
Reatlegile Modise | operation insert count 11 | operation find count = 21
Letlotlo Baloyi | operation insert count 10 | operation find count = 17
Liam Dlamini | operation insert count 12 | operation find count = 23
Ofentse Madikizela | operation insert count 10 | operation find count = 23
Angel Visagie | operation insert count 11 | operation find count = 25
Letlotlo Tsotetsi | operation insert count 10 | operation find count = 23
Omaatla Visagie | operation insert count 10 | operation find count = 17
Nkosenhle Booi | operation insert count 10 | operation find count = 23
Bayanda Mudau | operation insert count 12 | operation find count = 19
Reneilwe Tshabalala | operation insert count 5 | operation find count = 7
Oratile Adams | operation insert count 10 | operation find count = 21
Karabo Shabangu | operation insert count 10 | operation find count = 17
Joshua Maseko | operation insert count 10 | operation find count = 23
Kamogelo Klaas | operation insert count 11 | operation find count = 19
Onthatile Ngobeni | operation insert count 11 | operation find count = 21
Thandolwethu Modise | operation insert count 11 | operation find count = 19
Angel Ndlovu | operation insert count 11 | operation find count = 19
Karabo Maseko | operation insert count 11 | operation find count = 19
Amohelang Cloete | operation insert count 10 | operation find count = 21
Katlego Nkosi | operation insert count 11 | operation find count = 19
Katleho Davids | operation insert count 10 | operation find count = 21
Luke Molefe | operation insert count 11 | operation find count = 17
Luke Tshabalala | operation insert count 11 | operation find count = 21
Oratilwe Abrahams | operation insert count 12 | operation find count = 21
Reatlegile Mokoena | operation insert count 8 | operation find count = 15
Bonolo Klaas | operation insert count 11 | operation find count = 19
Luthando Dyantyi | operation insert count 12 | operation find count = 21
Caleb Abrahams | operation insert count 10 | operation find count = 19
Likuwe Klaas | operation insert count 10 | operation find count = 17
Omaatla Motloung | operation insert count 11 | operation find count = 19
Esihle Ngwenya | operation insert count 9 | operation find count = 17
Lwandle Ndlovu | operation insert count 11 | operation find count = 19
Bayanda Maseko | operation insert count 12 | operation find count = 19
Bokang Dlamini | operation insert count 7 | operation find count = 5
Asemahle Peter | operation insert count 11 | operation find count = 17
Ayabonga Mofokeng | operation insert count 11 | operation find count = 21
Luthando Ngwenya | operation insert count 11 | operation find count = 19
Melokuhle Mnisi | operation insert count 10 | operation find count = 23
Hlelokuhle Ndou | operation insert count 10 | operation find count = 15
Karabo Van | operation insert count 11 | operation find count = 19
Kamogelo Beukes | operation insert count 12 | operation find count = 21
Jayden Gumede | operation insert count 11 | operation find count = 25
Kungawo Chauke | operation insert count 12 | operation find count = 19
Melokuhle Khumalo | operation insert count 10 | operation find count = 19
Phenyo Williams | operation insert count 8 | operation find count = 17
Letlotlo Chauke | operation insert count 12 | operation find count = 21
Sphesihle Mudau | operation insert count 12 | operation find count = 19
Joshua Mokoena | operation insert count 12 | operation find count = 23
Karabo Petersen | operation insert count 11 | operation find count = 15
Sphesihle Mudau | operation insert count 11 | operation find count = 21
Iminathi Malatji | operation insert count 12 | operation find count = 21
Lebogang Cloete | operation insert count 11 | operation find count = 21
Joshua Tsotetsi | operation insert count 11 | operation find count = 19
Olerato Gumede | operation insert count 12 | operation find count = 19
Aphelele Maluleke | operation insert count 10 | operation find count = 21
Oratilwe Motaung | operation insert count 11 | operation find count = 19
Emihle Mahlangu | operation insert count 11 | operation find count = 23
Kungawo Motaung | operation insert count 11 | operation find count = 17
Blessing Louw | operation insert count 10 | operation find count = 19
Amohelang Mudau | operation insert count 12 | operation find count = 21
Enzokuhle Louw | operation insert count 11 | operation find count = 17
Angel Maluleke | operation insert count 11 | operation find count = 19
Hlelokuhle Mudau | operation insert count 12 | operation find count = 21
Faith Smith | operation insert count 10 | operation find count = 23
Angel Moeng | operation insert count 11 | operation find count = 21
Iminathi Khoza | operation insert count 9 | operation find count = 17
Omaatla Witbooi | operation insert count 11 | operation find count = 23
Bayanda Tsotetsi | operation insert count 11 | operation find count = 23
Likuwe Ngwenya | operation insert count 10 | operation find count = 17
Othalive Molefe | operation insert count 11 | operation find count = 17
Oratilwe Mosia | operation insert count 11 | operation find count = 23
Alunamda Klaas | operation insert count 10 | operation find count = 21
Kamogelo Madikizela | operation insert count 10 | operation find count = 21
Lingomso Chauke | operation insert count 11 | operation find count = 21
Enzokuhle Booi | operation insert count 6 | operation find count = 7
Olothando Dlamini | operation insert count 12 | operation find count = 21
Kungawo Daniels | operation insert count 8 | operation find count = 19
Lebogang Mathebula | operation insert count 11 | operation find count = 21
Thato Mathebula | operation insert count 11 | operation find count = 21
Tshegofatso Tsotetsi | operation insert count 11 | operation find count = 21
Bokamoso Sithole | operation insert count 11 | operation find count = 17
Minenhle Abrahams | operation insert count 11 | operation find count = 19
Naledi Dyantyi | operation insert count 12 | operation find count = 19
Warona Tshabalala | operation insert count 12 | operation find count = 19
Reneilwe Cloete | operation insert count 12 | operation find count = 23
Remofilwe Motloung | operation insert count 12 | operation find count = 23
Omphile Mthembu | operation insert count 11 | operation find count = 15
Blessing Ngcobo | operation insert count 11 | operation find count = 19
Okuhle Cloete | operation insert count 11 | operation find count = 19
Luthando Klaas | operation insert count 10 | operation find count = 21
Philasande Moloi | operation insert count 12 | operation find count = 19
Bokang Shabangu | operation insert count 10 | operation find count = 17
Kamohelo Daniels | operation insert count 11 | operation find count = 25
Relebohile Shabangu | operation insert count 11 | operation find count = 21
Melokuhle Mogale | operation insert count 10 | operation find count = 25
Amahle Hendricks | operation insert count 11 | operation find count = 21
Isabella Khumalo | operation insert count 12 | operation find count = 21
Nkosenhle Daniels | operation insert count 12 | operation find count = 23
Remofilwe Gumede | operation insert count 12 | operation find count = 19
Junior Van | operation insert count 8 | operation find count = 15
Isabella Mokoena | operation insert count 11 | operation find count = 21
Leano Mogale | operation insert count 10 | operation find count = 23
Othalive Mofokeng | operation insert count 12 | operation find count = 23
Mpho Moeng | operation insert count 11 | operation find count = 19
Lebogang Petersen | operation insert count 11 | operation find count = 21
Kamohelo Klaas | operation insert count 11 | operation find count = 17
Katleho Khumalo | operation insert count 11 | operation find count = 17
Iminathi Mogale | operation insert count 11 | operation find count = 23
Ofentse Radebe | operation insert count 10 | operation find count = 17
Caleb Madikizela | operation insert count 10 | operation find count = 21
Lethabo Petersen | operation insert count 11 | operation find count = 21
Rethabile Ngobeni | operation insert count 11 | operation find count = 21
Mia Booysen | operation insert count 8 | operation find count = 19
Caleb Mahlangu | operation insert count 11 | operation find count = 21
Tshegofatso Sithole | operation insert count 11 | operation find count = 17
Bandile Hendricks | operation insert count 12 | operation find count = 19
Rethabile Molefe | operation insert count 10 | operation find count = 21
Lebogang Sithole | operation insert count 10 | operation find count = 21
Bonolo Radebe | operation insert count 9 | operation find count = 19
Relebohile Sithole | operation insert count 11 | operation find count = 21
Karabo Mohlala | operation insert count 12 | operation find count = 19
Jayden Khumalo | operation insert count 12 | operation find count = 19
Bokamoso Dlamini | operation insert count 11 | operation find count = 17
Oratile Davids | operation insert count 10 | operation find count = 21
Noah Molefe | operation insert count 11 | operation find count = 21
Reneilwe Booysen | operation insert count 12 | operation find count = 19
Alunamda Khumalo | operation insert count 11 | operation find count = 17
Lingomso Mnisi | operation insert count 11 | operation find count = 23
Rethabile Olyn | operation insert count 10 | operation find count = 21
Karabo Booi | operation insert count 11 | operation find count = 23
Warona Smith | operation insert count 11 | operation find count = 23
Omphile Mkhize | operation insert count 11 | operation find count = 19
Esihle Witbooi | operation insert count 12 | operation find count = 19
Katleho Booysen | operation insert count 11 | operation find count = 19
Ayabonga Buthelezi | operation insert count 10 | operation find count = 25
Likuwe Chauke | operation insert count 12 | operation find count = 17
Lwandle Ngcobo | operation insert count 11 | operation find count = 21
Rethabile Petersen | operation insert count 10 | operation find count = 15
Oratile Motaung | operation insert count 8 | operation find count = 15
Amahle Mkhize | operation insert count 11 | operation find count = 23
Katleho Mofokeng | operation insert count 10 | operation find count = 17
Karabo Radebe | operation insert count 10 | operation find count = 19
Okuhle Cloete | operation insert count 11 | operation find count = 19
Aphelele Moloi | operation insert count 12 | operation find count = 19
Alwande Jack | operation insert count 11 | operation find count = 19
Amohelang Jacobs | operation insert count 12 | operation find count = 21
Nkosenhle Mudau | operation insert count 12 | operation find count = 21
Noah Ndou | operation insert count 11 | operation find count = 21
Angel Moloi | operation insert count 12 | operation find count = 21
Leano Jack | operation insert count 11 | operation find count = 19
Kungawo Nkosi | operation insert count 10 | operation find count = 19
Minenhle Louw | operation insert count 11 | operation find count = 17
Philasande Nkosi | operation insert count 5 | operation find count = 11
Lingomso Booi | operation insert count 11 | operation find count = 19
Siyabonga Visagie | operation insert count 10 | operation find count = 21
Reatlegile Baloyi | operation insert count 11 | operation find count = 23
Elijah Mthembu | operation insert count 10 | operation find count = 19
Emihle Modise | operation insert count 11 | operation find count = 23
Luthando Booysen | operation insert count 12 | operation find count = 19
Lingomso Mohlala | operation insert count 8 | operation find count = 21
Reatlegile Molefe | operation insert count 11 | operation find count = 21
Blessing Petersen | operation insert count 9 | operation find count = 15
Faith Nkosi | operation insert count 10 | operation find count = 19
Faith Jack | operation insert count 11 | operation find count = 23
Lethabo Louw | operation insert count 10 | operation find count = 19
Onthatile Petersen | operation insert count 11 | operation find count = 19
Thato Motaung | operation insert count 11 | operation find count = 19
Ofentse Nhlapo | operation insert count 11 | operation find count = 19
Nkosenhle Beukes | operation insert count 11 | operation find count = 21
Kamohelo Buthelezi | operation insert count 10 | operation find count = 21
Omphile Visagie | operation insert count 10 | operation find count = 19
Reneilwe Booysen | operation insert count 12 | operation find count = 19
Esihle Booi | operation insert count 11 | operation find count = 21
Okuhle Smith | operation insert count 11 | operation find count = 21
Onthatile Beukes | operation insert count 5 | operation find count = 15
Lethabo Mohlala | operation insert count 12 | operation find count = 21
Kamogelo Booysen | operation insert count 11 | operation find count = 21
Bandile Mahlangu | operation insert count 11 | operation find count = 21
Luke Ngobeni | operation insert count 11 | operation find count = 19
Rorisang Maluleke | operation insert count 11 | operation find count = 19
Melokuhle Maluleke | operation insert count 10 | operation find count = 21
Philasande Mofokeng | operation insert count 12 | operation find count = 21
Kamohelo Klaas | operation insert count 12 | operation find count = 19
Omolemo Jacobs | operation insert count 12 | operation find count = 23
Lethokuhle Motloung | operation insert count 10 | operation find count = 19
Luke Khumalo | operation insert count 11 | operation find count = 21
Junior Visagie | operation insert count 11 | operation find count = 17
Omphile Hendricks | operation insert count 12 | operation find count = 21
Likuwe Louw | operation insert count 11 | operation find count = 23
Junior Booysen | operation insert count 10 | operation find count = 17
Faith Mosia | operation insert count 10 | operation find count = 19
Ofentse Radebe | operation insert count 11 | operation find count = 23
Elijah Booysen | operation insert count 11 | operation find count = 21
Siyabonga Shabangu | operation insert count 11 | operation find count = 23
Luphawu Dyantyi | operation insert count 12 | operation find count = 23
Rethabile Jacobs | operation insert count 12 | operation find count = 17
Bonolo Mathebula | operation insert count 11 | operation find count = 21
Reatlegile Booi | operation insert count 12 | operation find count = 21
Aphelele Maluleke | operation insert count 10 | operation find count = 21
Reatlegile Daniels | operation insert count 12 | operation find count = 23
Omphile Jack | operation insert count 10 | operation find count = 21
Othalive Mthembu | operation insert count 10 | operation find count = 19
Lethabo Mkhize | operation insert count 11 | operation find count = 23
Rorisang Jacobs | operation insert count 12 | operation find count = 21
Elijah Ndlovu | operation insert count 13 | operation find count = 21
Philasande Beukes | operation insert count 11 | operation find count = 19
Luke Witbooi | operation insert count 10 | operation find count = 19
Bonolo Mogale | operation insert count 10 | operation find count = 23
Onthatile Modise | operation insert count 12 | operation find count = 19
Katlego Nkosi | operation insert count 8 | operation find count = 13
Thandolwethu Chauke | operation insert count 11 | operation find count = 17
Karabo Shabangu | operation insert count 11 | operation find count = 23
Caleb Shabangu | operation insert count 10 | operation find count = 23
Amahle Mokoena | operation insert count 11 | operation find count = 23
Ava Booi | operation insert count 11 | operation find count = 19
Kungawo Mohlala | operation insert count 12 | operation find count = 23
Lethokuhle Gumede | operation insert count 12 | operation find count = 23
Bandile Witbooi | operation insert count 11 | operation find count = 21
Onthatile Motaung | operation insert count 11 | operation find count = 19
Khayone Ngwenya | operation insert count 11 | operation find count = 23
Hlelokuhle Abrahams | operation insert count 8 | operation find count = 17
Jayden Baloyi | operation insert count 11 | operation find count = 19
Thato Booysen | operation insert count 11 | operation find count = 21
Melokuhle Mokoena | operation insert count 10 | operation find count = 21
Likuwe Daniels | operation insert count 10 | operation find count = 15
Bokamoso Buthelezi | operation insert count 11 | operation find count = 21
Warona Nkuna | operation insert count 11 | operation find count = 17
Likuwe Jacobs | operation insert count 12 | operation find count = 19
Oratilwe Tshabalala | operation insert count 12 | operation find count = 17
Katlego Buthelezi | operation insert count 10 | operation find count = 19
Tshegofatso Tshabalala | operation insert count 12 | operation find count = 23
Lesedi Mthembu | operation insert count 10 | operation find count = 21
Bayanda Maseko | operation insert count 12 | operation find count = 19
Isabella Van | operation insert count 11 | operation find count = 19
Remofilwe Peter | operation insert count 11 | operation find count = 21
Ofentse Abrahams | operation insert count 9 | operation find count = 19
Angel Louw | operation insert count 11 | operation find count = 21
Bokamoso Sithole | operation insert count 11 | operation find count = 17
Bayanda Buthelezi | operation insert count 11 | operation find count = 23
Mia Booysen | operation insert count 12 | operation find count = 21
Esihle Ndou | operation insert count 10 | operation find count = 19
Phenyo Williams | operation insert count 11 | operation find count = 23
Ofentse Mokoena | operation insert count 12 | operation find count = 17
Olothando Olyn | operation insert count 11 | operation find count = 23
Kamogelo Klaas | operation insert count 12 | operation find count = 21
Lwandle Baloyi | operation insert count 12 | operation find count = 19
Reatlegile Booi | operation insert count 11 | operation find count = 23
Noah Beukes | operation insert count 7 | operation find count = 17
Lethabo Mahlangu | operation insert count 12 | operation find count = 19
Sphesihle Nhlapo | operation insert count 11 | operation find count = 23
Rorisang Hendricks | operation insert count 12 | operation find count = 25
Omaatla Visagie | operation insert count 10 | operation find count = 17
Tshegofatso Adams | operation insert count 12 | operation find count = 25
Siphesihle Sithole | operation insert count 11 | operation find count = 21
Lisakhanya Ngobeni | operation insert count 12 | operation find count = 21
Rethabile Malatji | operation insert count 11 | operation find count = 15
Minenhle Nkuna | operation insert count 9 | operation find count = 15
Bonolo Witbooi | operation insert count 12 | operation find count = 23
Philasande Tshabalala | operation insert count 12 | operation find count = 19
Relebohile Gumede | operation insert count 12 | operation find count = 23
Lwandle Ngwenya | operation insert count 8 | operation find count = 13
Tshegofatso Malatji | operation insert count 11 | operation find count = 19
Othalive Mohlala | operation insert count 10 | operation find count = 23
Lesedi Ngobeni | operation insert count 11 | operation find count = 21
Naledi Mogale | operation insert count 11 | operation find count = 23
Luthando Malatji | operation insert count 11 | operation find count = 21
Amohelang Abrahams | operation insert count 11 | operation find count = 19
Letlotlo Adams | operation insert count 10 | operation find count = 19
Lesedi Modise | operation insert count 11 | operation find count = 17
Likuwe Ngwenya | operation insert count 10 | operation find count = 17
Kamohelo Maseko | operation insert count 9 | operation find count = 17
Luthando Mathebula | operation insert count 11 | operation find count = 17
Leah Mudau | operation insert count 12 | operation find count = 25
Elijah Williams | operation insert count 11 | operation find count = 17
Amohelang Sithole | operation insert count 10 | operation find count = 21
Omaatla Khoza | operation insert count 6 | operation find count = 15
Siphesihle Moloi | operation insert count 11 | operation find count = 23
Bokamoso Ndou | operation insert count 10 | operation find count = 17
Luthando Booysen | operation insert count 10 | operation find count = 17
Siphosethu Mogale | operation insert count 12 | operation find count = 23
Bokamoso Dlamini | operation insert count 11 | operation find count = 17
Lwandle Dlamini | operation insert count 12 | operation find count = 21
Kamogelo Witbooi | operation insert count 10 | operation find count = 15
Luthando Chauke | operation insert count 10 | operation find count = 19
Leah Nhlapo | operation insert count 12 | operation find count = 23
Sphesihle Mudau | operation insert count 10 | operation find count = 17
Lingomso Nkuna | operation insert count 10 | operation find count = 21
Luphawu Dyantyi | operation insert count 12 | operation find count = 21
Kungawo Motloung | operation insert count 11 | operation find count = 21
Olerato Smith | operation insert count 11 | operation find count = 23
Emihle Modise | operation insert count 7 | operation find count = 19
Lethabo Nhlapo | operation insert count 11 | operation find count = 23
Amogelang Booysen | operation insert count 11 | operation find count = 25
Lingomso Nkosi | operation insert count 11 | operation find count = 21
Bonolo Booi | operation insert count 11 | operation find count = 23
Olerato Beukes | operation insert count 11 | operation find count = 21
Tshegofatso Hendricks | operation insert count 12 | operation find count = 25
Lesedi Visagie | operation insert count 12 | operation find count = 21
Reatlegile Shabangu | operation insert count 9 | operation find count = 21
Bokamoso Hendricks | operation insert count 12 | operation find count = 23
Bonolo Van | operation insert count 12 | operation find count = 17
Lesedi Gumede | operation insert count 13 | operation find count = 19
Likuwe Jack | operation insert count 10 | operation find count = 23
Katlego Chauke | operation insert count 12 | operation find count = 21
Luphawu Jacobs | operation insert count 12 | operation find count = 23
Amahle Hendricks | operation insert count 11 | operation find count = 21
Melokuhle Mofokeng | operation insert count 10 | operation find count = 17
Siphesihle Mudau | operation insert count 12 | operation find count = 21
Luphawu Jack | operation insert count 11 | operation find count = 17
Remofilwe Baloyi | operation insert count 12 | operation find count = 19
Thandolwethu Motaung | operation insert count 12 | operation find count = 21
Enzokuhle Adams | operation insert count 12 | operation find count = 23
Warona Petersen | operation insert count 10 | operation find count = 21
Kungawo Tsotetsi | operation insert count 11 | operation find count = 25
Siyabonga Cloete | operation insert count 11 | operation find count = 23
Melokuhle Nkuna | operation insert count 10 | operation find count = 17
Naledi Tsotetsi | operation insert count 10 | operation find count = 17
Faith Booysen | operation insert count 11 | operation find count = 23
Liam Moeng | operation insert count 11 | operation find count = 21
Omolemo Ngobeni | operation insert count 11 | operation find count = 19
Lethokuhle Mahlangu | operation insert count 13 | operation find count = 25
Okuhle Visagie | operation insert count 10 | operation find count = 23
Siyabonga Hendricks | operation insert count 10 | operation find count = 13
Reneilwe Mosia | operation insert count 12 | operation find count = 21
Lesedi Khumalo | operation insert count 12 | operation find count = 25
Omaatla Hendricks | operation insert count 12 | operation find count = 23
Angel Daniels | operation insert count 11 | operation find count = 21
Jayden Malatji | operation insert count 12 | operation find count = 21
Omaatla Mudau | operation insert count 13 | operation find count = 19
Siphesihle Tsotetsi | operation insert count 12 | operation find count = 17
Siphosethu Chauke | operation insert count 11 | operation find count = 23
Bokamoso Visagie | operation insert count 11 | operation find count = 25
Lesedi Nkosi | operation insert count 10 | operation find count = 17
Sphesihle Klaas | operation insert count 11 | operation find count = 23
Liam Dlamini | operation insert count 12 | operation find count = 19
Lingomso Moloi | operation insert count 11 | operation find count = 23
Lethokuhle Tsotetsi | operation insert count 10 | operation find count = 23
Ayabonga Sithole | operation insert count 10 | operation find count = 21
Reatlegile Witbooi | operation insert count 12 | operation find count = 19
Ayabonga Van | operation insert count 12 | operation find count = 21
Lingomso Mofokeng | operation insert count 12 | operation find count = 21
Rethabile Ngobeni | operation insert count 11 | operation find count = 19
Luphawu Beukes | operation insert count 6 | operation find count = 13
Rorisang Booi | operation insert count 12 | operation find count = 19
Melokuhle Adams | operation insert count 11 | operation find count = 17
Amogelang Van | operation insert count 9 | operation find count = 21
Luke Mokoena | operation insert count 11 | operation find count = 21
Okuhle Mahlangu | operation insert count 12 | operation find count = 23
Mpho Moeng | operation insert count 11 | operation find count = 19
Lesedi Mogale | operation insert count 11 | operation find count = 23
Lesedi Adams | operation insert count 12 | operation find count = 23
Hlelokuhle Davids | operation insert count 11 | operation find count = 23
Bayanda Moeng | operation insert count 11 | operation find count = 21
Philasande Daniels | operation insert count 12 | operation find count = 21
Angel Malatji | operation insert count 12 | operation find count = 19
Lwandle Jacobs | operation insert count 11 | operation find count = 23
Mia Shabangu | operation insert count 9 | operation find count = 17
Reatlegile Hendricks | operation insert count 12 | operation find count = 23
Warona Mogale | operation insert count 12 | operation find count = 25
Iminathi Daniels | operation insert count 12 | operation find count = 21
Lesedi Gumede | operation insert count 13 | operation find count = 23
Lubanzi Mahlangu | operation insert count 10 | operation find count = 21
Siphosethu Mkhize | operation insert count 11 | operation find count = 23
Thato Mathebula | operation insert count 11 | operation find count = 19
Alunamda Petersen | operation insert count 11 | operation find count = 17
Noah Mofokeng | operation insert count 9 | operation find count = 21
Tshegofatso Beukes | operation insert count 11 | operation find count = 21
Angel Petersen | operation insert count 12 | operation find count = 21
Lingomso Jacobs | operation insert count 11 | operation find count = 23
Rorisang Beukes | operation insert count 12 | operation find count = 21
Kamogelo Peter | operation insert count 12 | operation find count = 19
Elijah Sithole | operation insert count 9 | operation find count = 19
Thandolwethu Modise | operation insert count 12 | operation find count = 21
Ava Motaung | operation insert count 11 | operation find count = 23
Philasande Tshabalala | operation insert count 12 | operation find count = 19
Othalive Louw | operation insert count 8 | operation find count = 15
Lwandle Khoza | operation insert count 9 | operation find count = 11
Othalive Molefe | operation insert count 12 | operation find count = 21
Katlego Mudau | operation insert count 12 | operation find count = 19
Joshua Booi | operation insert count 11 | operation find count = 23
Bokang Mohlala | operation insert count 12 | operation find count = 19
Thato Mkhize | operation insert count 12 | operation find count = 21
Hlelokuhle Sithole | operation insert count 11 | operation find count = 23
Joshua Mokoena | operation insert count 12 | operation find count = 25
Blessing Maluleke | operation insert count 11 | operation find count = 19
Melokuhle Ndou | operation insert count 8 | operation find count = 21
Lesedi Booysen | operation insert count 11 | operation find count = 21
Likuwe Shabangu | operation insert count 10 | operation find count = 23
Isabella Malatji | operation insert count 11 | operation find count = 19
Hlelokuhle Jacobs | operation insert count 12 | operation find count = 25
Onthatile Peter | operation insert count 11 | operation find count = 17
Junior Radebe | operation insert count 10 | operation find count = 19
Karabo Van | operation insert count 11 | operation find count = 19
Tshegofatso Petersen | operation insert count 9 | operation find count = 19
Lethokuhle Sithole | operation insert count 12 | operation find count = 19
Luthando Mogale | operation insert count 9 | operation find count = 21
Leano Nkuna | operation insert count 11 | operation find count = 15
Mia Dlamini | operation insert count 12 | operation find count = 19
Reneilwe Van | operation insert count 10 | operation find count = 21
Luke Molefe | operation insert count 12 | operation find count = 21
Reneilwe Booysen | operation insert count 12 | operation find count = 19
Ofentse Madikizela | operation insert count 10 | operation find count = 23
Tshegofatso Witbooi | operation insert count 12 | operation find count = 21
Omolemo Ngobeni | operation insert count 11 | operation find count = 19
Luke Nkuna | operation insert count 9 | operation find count = 21
Reneilwe Motaung | operation insert count 11 | operation find count = 23
Bayanda Madikizela | operation insert count 11 | operation find count = 23
Omaatla Malatji | operation insert count 12 | operation find count = 21
Tshegofatso Klaas | operation insert count 11 | operation find count = 23
Leah Nkosi | operation insert count 9 | operation find count = 15
Kamogelo Nhlapo | operation insert count 11 | operation find count = 23
Othalive Radebe | operation insert count 11 | operation find count = 19
Kamogelo Mofokeng | operation insert count 11 | operation find count = 19
Naledi Dlamini | operation insert count 13 | operation find count = 23
Reatlegile Khoza | operation insert count 10 | operation find count = 21
Lebogang Louw | operation insert count 11 | operation find count = 19
Esihle Moloi | operation insert count 11 | operation find count = 19
Tshegofatso Ngobeni | operation insert count 9 | operation find count = 19
Angel Mosia | operation insert count 12 | operation find count = 21
Angel Peter | operation insert count 11 | operation find count = 15
Kungawo Mofokeng | operation insert count 12 | operation find count = 19
Omphile Mthembu | operation insert count 10 | operation find count = 17
Isabella Moloi | operation insert count 11 | operation find count = 21
Warona Mkhize | operation insert count 12 | operation find count = 19
Siphesihle Mofokeng | operation insert count 13 | operation find count = 17
Joshua Ndou | operation insert count 11 | operation find count = 19
Lethokuhle Khumalo | operation insert count 12 | operation find count = 23
Warona Ndlovu | operation insert count 8 | operation find count = 19
Omaatla Buthelezi | operation insert count 10 | operation find count = 21
Lesedi Ndou | operation insert count 11 | operation find count = 23
Rorisang Booi | operation insert count 12 | operation find count = 19
Alunamda Jack | operation insert count 11 | operation find count = 21
Onthatile Van | operation insert count 11 | operation find count = 23
Joshua Witbooi | operation insert count 11 | operation find count = 23
Melokuhle Nhlapo | operation insert count 11 | operation find count = 23
Katleho Booysen | operation insert count 11 | operation find count = 19
Isabella Adams | operation insert count 12 | operation find count = 23
Othalive Ngobeni | operation insert count 10 | operation find count = 21
Jayden Ngwenya | operation insert count 9 | operation find count = 21
