Okuhle Booysen | operation insert count 0 | operation find count = 5
Elijah Madikizela | operation insert count 12 | operation find count = 21
Rorisang Mosia | operation insert count 11 | operation find count = 19
Lesedi Ngobeni | operation insert count 12 | operation find count = 25
Siphosethu Madikizela | operation insert count 8 | operation find count = 19
Kamogelo Ndlovu | operation insert count 12 | operation find count = 23
Lethokuhle Ngwenya | operation insert count 10 | operation find count = 21
Rethabile Malatji | operation insert count 10 | operation find count = 23
Isabella Mokoena | operation insert count 12 | operation find count = 19
Mia Nkosi | operation insert count 11 | operation find count = 25
Omaatla Malatji | operation insert count 12 | operation find count = 21
Reneilwe Mudau | operation insert count 11 | operation find count = 19
Ofentse Williams | operation insert count 11 | operation find count = 21
Kamogelo Mkhize | operation insert count 11 | operation find count = 23
Mpho Radebe | operation insert count 12 | operation find count = 19
Iminathi Malatji | operation insert count 11 | operation find count = 23
Lwandle Nkuna | operation insert count 11 | operation find count = 23
Nkosenhle Tsotetsi | operation insert count 10 | operation find count = 21
Liam Radebe | operation insert count 12 | operation find count = 21
Emihle Khoza | operation insert count 11 | operation find count = 21
Lethokuhle Ngwenya | operation insert count 10 | operation find count = 25
Lebogang Sithole | operation insert count 11 | operation find count = 23
Luthando Chauke | operation insert count 9 | operation find count = 21
Karabo Beukes | operation insert count 12 | operation find count = 19
Amohelang Maseko | operation insert count 11 | operation find count = 23
Aphelele Dlamini | operation insert count 11 | operation find count = 21
Lesedi Radebe | operation insert count 13 | operation find count = 21
Letlotlo Klaas | operation insert count 11 | operation find count = 21
Remofilwe Williams | operation insert count 11 | operation find count = 23
Hlelokuhle Malatji | operation insert count 13 | operation find count = 25
Kungawo Maseko | operation insert count 11 | operation find count = 17
Katleho Olyn | operation insert count 10 | operation find count = 19
Siyabonga Klaas | operation insert count 12 | operation find count = 21
Omphile Moeng | operation insert count 13 | operation find count = 17
Lesedi Beukes | operation insert count 9 | operation find count = 13
Katlego Adams | operation insert count 10 | operation find count = 17
Jayden Malatji | operation insert count 13 | operation find count = 25
Karabo Nhlapo | operation insert count 13 | operation find count = 15
Likuwe Baloyi | operation insert count 10 | operation find count = 17
Othalive Malatji | operation insert count 11 | operation find count = 25
Othalive Ngwenya | operation insert count 11 | operation find count = 21
Reneilwe Mohlala | operation insert count 12 | operation find count = 19
Ofentse Mokoena | operation insert count 13 | operation find count = 19
Rethabile Mudau | operation insert count 10 | operation find count = 23
Ayabonga Mohlala | operation insert count 12 | operation find count = 19
Jayden Mahlangu | operation insert count 11 | operation find count = 21
Sphesihle Malatji | operation insert count 14 | operation find count = 23
Kamogelo Maseko | operation insert count 10 | operation find count = 19
Likuwe Modise | operation insert count 12 | operation find count = 21
Ava Radebe | operation insert count 13 | operation find count = 23
Tshegofatso Witbooi | operation insert count 11 | operation find count = 23
Okuhle Mthembu | operation insert count 11 | operation find count = 23
Alwande Mnisi | operation insert count 11 | operation find count = 17
Phenyo Moloi | operation insert count 13 | operation find count = 27
Amohelang Mnisi | operation insert count 11 | operation find count = 21
Katlego Tsotetsi | operation insert count 12 | operation find count = 23
Thato Peter | operation insert count 13 | operation find count = 15
Rethabile Baloyi | operation insert count 4 | operation find count = 17
Junior Van | operation insert count 10 | operation find count = 21
Aphelele Baloyi | operation insert count 11 | operation find count = 23
Warona Mogale | operation insert count 11 | operation find count = 23
Remofilwe Moloi | operation insert count 12 | operation find count = 23
Kungawo Buthelezi | operation insert count 11 | operation find count = 23
Kungawo Mudau | operation insert count 12 | operation find count = 23
Omaatla Motloung | operation insert count 12 | operation find count = 19
Mpho Beukes | operation insert count 10 | operation find count = 21
Okuhle Mudau | operation insert count 12 | operation find count = 21
Tshegofatso Witbooi | operation insert count 10 | operation find count = 23
Othalive Booysen | operation insert count 10 | operation find count = 13
Banele Ndou | operation insert count 11 | operation find count = 23
Isabella Mosia | operation insert count 11 | operation find count = 19
Lebogang Peter | operation insert count 13 | operation find count = 19
Likuwe Mohlala | operation insert count 12 | operation find count = 21
Siphosethu Buthelezi | operation insert count 11 | operation find count = 21
Lesedi Van | operation insert count 11 | operation find count = 25
Ava Daniels | operation insert count 9 | operation find count = 21
Liam Dlamini | operation insert count 10 | operation find count = 19
Rethabile Williams | operation insert count 13 | operation find count = 25
Phenyo Sithole | operation insert count 11 | operation find count = 23
Olothando Mathebula | operation insert count 10 | operation find count = 21
Onthatile Nkuna | operation insert count 9 | operation find count = 21
Junior Nkosi | operation insert count 11 | operation find count = 23
Oratilwe Abrahams | operation insert count 11 | operation find count = 19
Noah Mofokeng | operation insert count 12 | operation find count = 15
Bayanda Beukes | operation insert count 9 | operation find count = 15
Onthatile Nkuna | operation insert count 9 | operation find count = 21
Lingomso Motaung | operation insert count 12 | operation find count = 23
Reatlegile Malatji | operation insert count 12 | operation find count = 25
Ofentse Mnisi | operation insert count 12 | operation find count = 21
Blessing Dlamini | operation insert count 9 | operation find count = 15
Kamohelo Moloi | operation insert count 12 | operation find count = 23
Amogelang Mahlangu | operation insert count 12 | operation find count = 17
Othalive Gumede | operation insert count 11 | operation find count = 23
Emihle Moloi | operation insert count 12 | operation find count = 23
Katlego Maseko | operation insert count 12 | operation find count = 23
Amohelang Buthelezi | operation insert count 12 | operation find count = 23
Liam Klaas | operation insert count 11 | operation find count = 19
Omphile Motloung | operation insert count 13 | operation find count = 23
Kungawo Moeng | operation insert count 11 | operation find count = 19
Onthatile Smith | operation insert count 8 | operation find count = 19
Katleho Baloyi | operation insert count 12 | operation find count = 19
Karabo Modise | operation insert count 12 | operation find count = 23
Katleho Mnisi | operation insert count 11 | operation find count = 19
Othalive Petersen | operation insert count 12 | operation find count = 21
Kamogelo Adams | operation insert count 11 | operation find count = 21
Othalive Radebe | operation insert count 12 | operation find count = 21
Katlego Khumalo | operation insert count 12 | operation find count = 25
Letlotlo Tsotetsi | operation insert count 12 | operation find count = 23
Aphelele Moloi | operation insert count 6 | operation find count = 13
Likuwe Nkuna | operation insert count 12 | operation find count = 21
Philasande Chauke | operation insert count 11 | operation find count = 17
Sphesihle Mnisi | operation insert count 11 | operation find count = 21
Joshua Maseko | operation insert count 11 | operation find count = 21
Warona Nkuna | operation insert count 11 | operation find count = 23
Omolemo Ngobeni | operation insert count 11 | operation find count = 23
Minenhle Jacobs | operation insert count 9 | operation find count = 23
Tshegofatso Khoza | operation insert count 9 | operation find count = 19
Likuwe Ndlovu | operation insert count 12 | operation find count = 21
Enzokuhle Ngcobo | operation insert count 12 | operation find count = 19
Omphile Sithole | operation insert count 12 | operation find count = 21
Bokang Petersen | operation insert count 13 | operation find count = 19
Jayden Cloete | operation insert count 10 | operation find count = 19
Blessing Klaas | operation insert count 11 | operation find count = 21
Angel Mudau | operation insert count 10 | operation find count = 23
Lesedi Molefe | operation insert count 5 | operation find count = 9
Oratilwe Louw | operation insert count 10 | operation find count = 17
Thato Jacobs | operation insert count 12 | operation find count = 25
Elijah Mthembu | operation insert count 8 | operation find count = 19
Lesedi Davids | operation insert count 11 | operation find count = 15
Bandile Hendricks | operation insert count 11 | operation find count = 25
Kamogelo Nkuna | operation insert count 11 | operation find count = 19
Kamohelo Witbooi | operation insert count 12 | operation find count = 21
Olerato Mkhize | operation insert count 11 | operation find count = 23
Katleho Khoza | operation insert count 10 | operation find count = 23
Joshua Dyantyi | operation insert count 11 | operation find count = 19
Omolemo Ngobeni | operation insert count 11 | operation find count = 23
Joshua Sithole | operation insert count 12 | operation find count = 17
Omphile Mthembu | operation insert count 11 | operation find count = 23
Alunamda Mnisi | operation insert count 12 | operation find count = 19
Lisakhanya Radebe | operation insert count 12 | operation find count = 23
Kamohelo Mosia | operation insert count 13 | operation find count = 23
Alunamda Daniels | operation insert count 11 | operation find count = 19
Mpho Radebe | operation insert count 12 | operation find count = 19
Junior Shabangu | operation insert count 12 | operation find count = 25
Omphile Hendricks | operation insert count 11 | operation find count = 15
Melokuhle Mthembu | operation insert count 12 | operation find count = 21
Lubanzi Davids | operation insert count 12 | operation find count = 19
Lethabo Mofokeng | operation insert count 11 | operation find count = 23
Liam Radebe | operation insert count 12 | operation find count = 17
Elijah Peter | operation insert count 11 | operation find count = 21
Kamogelo Buthelezi | operation insert count 11 | operation find count = 19
Kamogelo Baloyi | operation insert count 12 | operation find count = 21
Mia Dlamini | operation insert count 12 | operation find count = 17
Olerato Abrahams | operation insert count 11 | operation find count = 21
Lwandle Buthelezi | operation insert count 11 | operation find count = 21
Minenhle Louw | operation insert count 10 | operation find count = 21
Okuhle Baloyi | operation insert count 10 | operation find count = 19
Kungawo Motaung | operation insert count 12 | operation find count = 21
Reatlegile Mkhize | operation insert count 12 | operation find count = 25
Karabo Mokoena | operation insert count 12 | operation find count = 23
Tshegofatso Klaas | operation insert count 12 | operation find count = 25
Lethabo Mohlala | operation insert count 11 | operation find count = 23
Thato Madikizela | operation insert count 6 | operation find count = 11
Kamogelo Adams | operation insert count 11 | operation find count = 21
Kamogelo Cloete | operation insert count 11 | operation find count = 17
Lubanzi Moeng | operation insert count 12 | operation find count = 21
Asemahle Ngobeni | operation insert count 11 | operation find count = 23
Bandile Sithole | operation insert count 12 | operation find count = 19
Luke Mthembu | operation insert count 12 | operation find count = 19
Onthatile Mokoena | operation insert count 12 | operation find count = 21
Enzokuhle Mudau | operation insert count 12 | operation find count = 23
Faith Olyn | operation insert count 11 | operation find count = 19
Angel Mokoena | operation insert count 10 | operation find count = 23
Amohelang Mosia | operation insert count 11 | operation find count = 21
Esihle Ndou | operation insert count 5 | operation find count = 3
Oratile Louw | operation insert count 11 | operation find count = 19
Luke Khumalo | operation insert count 9 | operation find count = 21
Othalive Peter | operation insert count 12 | operation find count = 19
Tshegofatso Mohlala | operation insert count 12 | operation find count = 21
Amohelang Williams | operation insert count 12 | operation find count = 19
Mia Radebe | operation insert count 13 | operation find count = 23
Minenhle Molefe | operation insert count 13 | operation find count = 23
Omaatla Ngcobo | operation insert count 13 | operation find count = 21
Blessing Maseko | operation insert count 10 | operation find count = 13
Thato Khumalo | operation insert count 11 | operation find count = 23
Rethabile Booi | operation insert count 10 | operation find count = 19
Alunamda Witbooi | operation insert count 12 | operation find count = 21
Onthatile Olyn | operation insert count 11 | operation find count = 25
Likuwe Klaas | operation insert count 12 | operation find count = 23
Kungawo Ndou | operation insert count 12 | operation find count = 21
Amohelang Tsotetsi | operation insert count 12 | operation find count = 21
Siphosethu Mogale | operation insert count 11 | operation find count = 21
Lethabo Modise | operation insert count 12 | operation find count = 25
Amogelang Dlamini | operation insert count 11 | operation find count = 23
Omaatla Shabangu | operation insert count 9 | operation find count = 19
Esihle Olyn | operation insert count 12 | operation find count = 21
Asemahle Ngcobo | operation insert count 11 | operation find count = 23
Karabo Van | operation insert count 12 | operation find count = 19
Amohelang Motloung | operation insert count 12 | operation find count = 23
Siyabonga Malatji | operation insert count 13 | operation find count = 21
Relebohile Dyantyi | operation insert count 8 | operation find count = 19
Leah Nhlapo | operation insert count 12 | operation find count = 21
Katlego Peter | operation insert count 9 | operation find count = 25
Katlego Mohlala | operation insert count 11 | operation find count = 23
Bokang Daniels | operation insert count 10 | operation find count = 19
Junior Cloete | operation insert count 11 | operation find count = 21
Bokamoso Dlamini | operation insert count 9 | operation find count = 17
Blessing Motaung | operation insert count 12 | operation find count = 21
Kamogelo Booysen | operation insert count 10 | operation find count = 15
Omphile Mokoena | operation insert count 12 | operation find count = 25
Omaatla Mosia | operation insert count 11 | operation find count = 25
Onthatile Tshabalala | operation insert count 12 | operation find count = 23
Luthando Jack | operation insert count 13 | operation find count = 21
Emihle Tsotetsi | operation insert count 13 | operation find count = 27
Melokuhle Chauke | operation insert count 10 | operation find count = 19
Iminathi Gumede | operation insert count 11 | operation find count = 21
Aphelele Mathebula | operation insert count 11 | operation find count = 23
Bokamoso Daniels | operation insert count 11 | operation find count = 21
Reatlegile Nkuna | operation insert count 12 | operation find count = 21
Thato Nkosi | operation insert count 11 | operation find count = 25
Siphosethu Adams | operation insert count 12 | operation find count = 15
Khayone Williams | operation insert count 8 | operation find count = 15
Amohelang Mathebula | operation insert count 12 | operation find count = 25
Kamogelo Ngobeni | operation insert count 11 | operation find count = 23
Mpho Petersen | operation insert count 12 | operation find count = 21
Bandile Nkosi | operation insert count 12 | operation find count = 21
Luke Davids | operation insert count 11 | operation find count = 17
Amohelang Beukes | operation insert count 10 | operation find count = 21
Aphelele Jack | operation insert count 12 | operation find count = 21
Phenyo Khumalo | operation insert count 11 | operation find count = 23
Luphawu Louw | operation insert count 12 | operation find count = 17
Joshua Khoza | operation insert count 9 | operation find count = 23
Luke Davids | operation insert count 11 | operation find count = 17
Likuwe Daniels | operation insert count 10 | operation find count = 21
Ofentse Mokoena | operation insert count 13 | operation find count = 19
Tshegofatso Molefe | operation insert count 13 | operation find count = 27
Iminathi Cloete | operation insert count 5 | operation find count = 7
Amohelang Tshabalala | operation insert count 11 | operation find count = 17
Phenyo Shabangu | operation insert count 12 | operation find count = 17
Alunamda Baloyi | operation insert count 11 | operation find count = 21
Ofentse Klaas | operation insert count 10 | operation find count = 21
Omphile Mnisi | operation insert count 11 | operation find count = 19
Leano Maseko | operation insert count 11 | operation find count = 19
Lethabo Mofokeng | operation insert count 11 | operation find count = 23
Aphelele Moloi | operation insert count 13 | operation find count = 23
Ofentse Gumede | operation insert count 8 | operation find count = 9
Lethabo Visagie | operation insert count 11 | operation find count = 25
Esihle Smith | operation insert count 11 | operation find count = 21
Katleho Olyn | operation insert count 10 | operation find count = 19
Reneilwe Mohlala | operation insert count 12 | operation find count = 19
Kamogelo Khoza | operation insert count 10 | operation find count = 25
Amahle Maseko | operation insert count 11 | operation find count = 19
Noah Beukes | operation insert count 12 | operation find count = 23
Tshegofatso Chauke | operation insert count 11 | operation find count = 11
Siphosethu Petersen | operation insert count 13 | operation find count = 21
Phenyo Ndlovu | operation insert count 13 | operation find count = 23
Oratile Malatji | operation insert count 10 | operation find count = 21
Katlego Maseko | operation insert count 12 | operation find count = 21
Bonolo Davids | operation insert count 10 | operation find count = 21
Reatlegile Jacobs | operation insert count 12 | operation find count = 21
Esihle Mnisi | operation insert count 12 | operation find count = 19
Katleho Daniels | operation insert count 11 | operation find count = 23
Emihle Mthembu | operation insert count 9 | operation find count = 21
Enzokuhle Nhlapo | operation insert count 11 | operation find count = 25
Esihle Nkuna | operation insert count 9 | operation find count = 21
Ofentse Mkhize | operation insert count 10 | operation find count = 17
Enzokuhle Tsotetsi | operation insert count 12 | operation find count = 23
Liam Jack | operation insert count 12 | operation find count = 21
Melokuhle Davids | operation insert count 11 | operation find count = 19
Omaatla Motloung | operation insert count 12 | operation find count = 19
Ofentse Nkosi | operation insert count 12 | operation find count = 21
Mpho Beukes | operation insert count 10 | operation find count = 19
Omphile Moeng | operation insert count 13 | operation find count = 17
Luphawu Tsotetsi | operation insert count 12 | operation find count = 21
Bokamoso Maluleke | operation insert count 13 | operation find count = 23
Lesedi Tsotetsi | operation insert count 13 | operation find count = 25
Hlelokuhle Nkuna | operation insert count 12 | operation find count = 21
Faith Ngobeni | operation insert count 12 | operation find count = 27
Jayden Mthembu | operation insert count 8 | operation find count = 15
Remofilwe Booysen | operation insert count 10 | operation find count = 15
Olerato Mogale | operation insert count 12 | operation find count = 23
Amahle Jacobs | operation insert count 10 | operation find count = 23
Likuwe Williams | operation insert count 10 | operation find count = 21
Jayden Tsotetsi | operation insert count 8 | operation find count = 17
Rethabile Williams | operation insert count 13 | operation find count = 25
Nkosenhle Nkuna | operation insert count 10 | operation find count = 19
Sphesihle Motaung | operation insert count 11 | operation find count = 21
Ayabonga Hendricks | operation insert count 9 | operation find count = 21
Letlotlo Mofokeng | operation insert count 12 | operation find count = 21
Othalive Hendricks | operation insert count 12 | operation find count = 19
Remofilwe Khoza | operation insert count 8 | operation find count = 17
Remofilwe Moloi | operation insert count 12 | operation find count = 23
Rorisang Jacobs | operation insert count 13 | operation find count = 19
Rorisang Tshabalala | operation insert count 12 | operation find count = 17
Ayabonga Visagie | operation insert count 12 | operation find count = 25
Nkosenhle Cloete | operation insert count 11 | operation find count = 21
Omphile Van | operation insert count 12 | operation find count = 19
Siyabonga Mudau | operation insert count 13 | operation find count = 23
Bokang Petersen | operation insert count 13 | operation find count = 19
Reneilwe Hendricks | operation insert count 12 | operation find count = 21
Lingomso Shabangu | operation insert count 13 | operation find count = 23
Phenyo Khumalo | operation insert count 9 | operation find count = 15
Bandile Gumede | operation insert count 10 | operation find count = 17
Onthatile Mofokeng | operation insert count 11 | operation find count = 21
Kungawo Molefe | operation insert count 12 | operation find count = 23
Philasande Daniels | operation insert count 9 | operation find count = 13
Kamogelo Beukes | operation insert count 12 | operation find count = 21
Mia Klaas | operation insert count 12 | operation find count = 19
Hlelokuhle Witbooi | operation insert count 11 | operation find count = 23
Karabo Van | operation insert count 12 | operation find count = 19
Likuwe Ngcobo | operation insert count 12 | operation find count = 23
Hlelokuhle Mogale | operation insert count 10 | operation find count = 19
Katleho Mahlangu | operation insert count 11 | operation find count = 23
Sphesihle Olyn | operation insert count 13 | operation find count = 23
Noah Maluleke | operation insert count 12 | operation find count = 21
Luthando Maluleke | operation insert count 12 | operation find count = 23
Noah Tsotetsi | operation insert count 12 | operation find count = 23
Lingomso Dlamini | operation insert count 12 | operation find count = 17
Omolemo Nkosi | operation insert count 12 | operation find count = 27
Jayden Baloyi | operation insert count 11 | operation find count = 23
Ofentse Baloyi | operation insert count 11 | operation find count = 23
Mia Motloung | operation insert count 8 | operation find count = 23
Katleho Motloung | operation insert count 12 | operation find count = 21
Liam Khumalo | operation insert count 11 | operation find count = 23
Leano Ngobeni | operation insert count 12 | operation find count = 27
Bokamoso Mofokeng | operation insert count 10 | operation find count = 19
Kungawo Abrahams | operation insert count 12 | operation find count = 21
Joshua Jack | operation insert count 12 | operation find count = 23
Bokamoso Mkhize | operation insert count 12 | operation find count = 19
Minenhle Khumalo | operation insert count 12 | operation find count = 25
Hlelokuhle Moloi | operation insert count 13 | operation find count = 25
Melokuhle Van | operation insert count 12 | operation find count = 23
Banele Adams | operation insert count 10 | operation find count = 19
Enzokuhle Abrahams | operation insert count 11 | operation find count = 19
Bonolo Maseko | operation insert count 10 | operation find count = 21
Likuwe Hendricks | operation insert count 12 | operation find count = 17
Reatlegile Ngobeni | operation insert count 12 | operation find count = 25
Remofilwe Mathebula | operation insert count 12 | operation find count = 23
Lingomso Dlamini | operation insert count 11 | operation find count = 19
Ava Mkhize | operation insert count 12 | operation find count = 21
Angel Louw | operation insert count 12 | operation find count = 19
Joshua Buthelezi | operation insert count 12 | operation find count = 17
Amohelang Dlamini | operation insert count 12 | operation find count = 21
Melokuhle Moeng | operation insert count 11 | operation find count = 17
Amohelang Adams | operation insert count 10 | operation find count = 19
Luthando Ngobeni | operation insert count 9 | operation find count = 25
Lisakhanya Booysen | operation insert count 11 | operation find count = 19
Likuwe Molefe | operation insert count 7 | operation find count = 21
Aphelele Moloi | operation insert count 6 | operation find count = 13
Hlelokuhle Chauke | operation insert count 11 | operation find count = 21
Tshegofatso Nkosi | operation insert count 11 | operation find count = 19
Jayden Tsotetsi | operation insert count 8 | operation find count = 17
Luphawu Khumalo | operation insert count 11 | operation find count = 25
Luthando Dyantyi | operation insert count 11 | operation find count = 21
Enzokuhle Ndou | operation insert count 12 | operation find count = 23
Omaatla Van | operation insert count 12 | operation find count = 23
Omaatla Chauke | operation insert count 11 | operation find count = 17
Luke Mahlangu | operation insert count 12 | operation find count = 23
Lebogang Maseko | operation insert count 5 | operation find count = 11
Phenyo Moeng | operation insert count 12 | operation find count = 21
Minenhle Mthembu | operation insert count 13 | operation find count = 19
Jayden Petersen | operation insert count 8 | operation find count = 23
Katlego Maseko | operation insert count 12 | operation find count = 23
Karabo Mudau | operation insert count 13 | operation find count = 25
Reatlegile Molefe | operation insert count 12 | operation find count = 23
Okuhle Jacobs | operation insert count 11 | operation find count = 19
Warona Sithole | operation insert count 8 | operation find count = 13
Bonolo Louw | operation insert count 13 | operation find count = 21
Luthando Mogale | operation insert count 7 | operation find count = 23
Lethabo Chauke | operation insert count 10 | operation find count = 19
Siphesihle Jack | operation insert count 12 | operation find count = 21
Olerato Mnisi | operation insert count 12 | operation find count = 19
Liam Klaas | operation insert count 11 | operation find count = 19
Karabo Mathebula | operation insert count 12 | operation find count = 23
Melokuhle Louw | operation insert count 11 | operation find count = 19
Alwande Olyn | operation insert count 12 | operation find count = 25
Jayden Shabangu | operation insert count 12 | operation find count = 23
Angel Tshabalala | operation insert count 12 | operation find count = 19
Bokang Smith | operation insert count 11 | operation find count = 19
Rorisang Mosia | operation insert count 12 | operation find count = 25
Okuhle Beukes | operation insert count 11 | operation find count = 25
Reneilwe Gumede | operation insert count 10 | operation find count = 19
Ayabonga Williams | operation insert count 12 | operation find count = 21
Iminathi Mokoena | operation insert count 11 | operation find count = 17
Iminathi Buthelezi | operation insert count 11 | operation find count = 19
Aphelele Dlamini | operation insert count 11 | operation find count = 21
Kamogelo Nkosi | operation insert count 12 | operation find count = 25
Alunamda Mokoena | operation insert count 12 | operation find count = 21
Rethabile Olyn | operation insert count 13 | operation find count = 23
Olerato Peter | operation insert count 12 | operation find count = 21
Leah Chauke | operation insert count 10 | operation find count = 17
Lethokuhle Nkuna | operation insert count 12 | operation find count = 21
Liam Ngcobo | operation insert count 11 | operation find count = 25
Bokamoso Adams | operation insert count 9 | operation find count = 17
Asemahle Petersen | operation insert count 10 | operation find count = 23
Melokuhle Chauke | operation insert count 10 | operation find count = 19
Relebohile Booi | operation insert count 11 | operation find count = 23
Bokang Baloyi | operation insert count 12 | operation find count = 21
Luke Tshabalala | operation insert count 11 | operation find count = 21
Phenyo Booysen | operation insert count 11 | operation find count = 17
Bonolo Van | operation insert count 12 | operation find count = 23
Reneilwe Motaung | operation insert count 12 | operation find count = 23
Mia Moeng | operation insert count 12 | operation find count = 19
Alunamda Mnisi | operation insert count 12 | operation find count = 19
Bayanda Sithole | operation insert count 13 | operation find count = 23
Bandile Jacobs | operation insert count 11 | operation find count = 21
Mpho Moeng | operation insert count 13 | operation find count = 17
Rorisang Petersen | operation insert count 13 | operation find count = 17
Bayanda Tshabalala | operation insert count 10 | operation find count = 17
Karabo Nkosi | operation insert count 12 | operation find count = 19
Tshegofatso Ndlovu | operation insert count 12 | operation find count = 23
Bonolo Maseko | operation insert count 10 | operation find count = 21
Lethabo Mkhize | operation insert count 12 | operation find count = 17
Amohelang Tshabalala | operation insert count 11 | operation find count = 17
Jayden Mathebula | operation insert count 11 | operation find count = 23
Reneilwe Mudau | operation insert count 13 | operation find count = 25
Bokamoso Mudau | operation insert count 10 | operation find count = 19
Ayabonga Mohlala | operation insert count 12 | operation find count = 19
Lwandle Dlamini | operation insert count 12 | operation find count = 21
Bokamoso Motaung | operation insert count 10 | operation find count = 17
Melokuhle Motaung | operation insert count 12 | operation find count = 23
Katlego Khoza | operation insert count 11 | operation find count = 25
Alunamda Jacobs | operation insert count 11 | operation find count = 17
Thato Mthembu | operation insert count 12 | operation find count = 23
Lesedi Tshabalala | operation insert count 10 | operation find count = 17
Katleho Ngcobo | operation insert count 12 | operation find count = 23
Lesedi Peter | operation insert count 13 | operation find count = 15
Luke Gumede | operation insert count 10 | operation find count = 17
Junior Adams | operation insert count 10 | operation find count = 23
Bokang Moeng | operation insert count 10 | operation find count = 23
Amahle Van | operation insert count 13 | operation find count = 15
Siyabonga Modise | operation insert count 9 | operation find count = 19
Amohelang Hendricks | operation insert count 8 | operation find count = 15
Joshua Dyantyi | operation insert count 11 | operation find count = 19
Likuwe Radebe | operation insert count 11 | operation find count = 21
Emihle Ndou | operation insert count 12 | operation find count = 19
Lethokuhle Sithole | operation insert count 12 | operation find count = 21
Bonolo Maseko | operation insert count 13 | operation find count = 23
Elijah Mkhize | operation insert count 12 | operation find count = 23
Onthatile Maluleke | operation insert count 10 | operation find count = 21
Caleb Shabangu | operation insert count 12 | operation find count = 21
Banele Mnisi | operation insert count 12 | operation find count = 19
Likuwe Khumalo | operation insert count 12 | operation find count = 21
Katlego Maluleke | operation insert count 10 | operation find count = 21
Bandile Cloete | operation insert count 10 | operation find count = 17
Kamohelo Baloyi | operation insert count 8 | operation find count = 17
Amohelang Booi | operation insert count 9 | operation find count = 21
Siphosethu Klaas | operation insert count 12 | operation find count = 23
Lebogang Louw | operation insert count 11 | operation find count = 25
Asemahle Abrahams | operation insert count 12 | operation find count = 17
Karabo Mahlangu | operation insert count 12 | operation find count = 17
Elijah Madikizela | operation insert count 12 | operation find count = 21
Iminathi Khoza | operation insert count 11 | operation find count = 23
Lethabo Mnisi | operation insert count 10 | operation find count = 21
Iminathi Maseko | operation insert count 13 | operation find count = 23
Leah Dlamini | operation insert count 9 | operation find count = 17
Lwandle Mosia | operation insert count 11 | operation find count = 25
Phenyo Davids | operation insert count 10 | operation find count = 21
Leano Smith | operation insert count 13 | operation find count = 21
Othalive Mogale | operation insert count 12 | operation find count = 23
Mia Klaas | operation insert count 13 | operation find count = 25
Onthatile Shabangu | operation insert count 12 | operation find count = 21
Bonolo Louw | operation insert count 13 | operation find count = 21
Oratilwe Abrahams | operation insert count 12 | operation find count = 21
Karabo Louw | operation insert count 11 | operation find count = 27
Enzokuhle Maluleke | operation insert count 11 | operation find count = 19
Karabo Mahlangu | operation insert count 11 | operation find count = 19
Siphosethu Visagie | operation insert count 12 | operation find count = 23
Olerato Ngwenya | operation insert count 11 | operation find count = 21
Letlotlo Moloi | operation insert count 11 | operation find count = 23
Philasande Sithole | operation insert count 12 | operation find count = 21
Alwande Molefe | operation insert count 12 | operation find count = 21
Karabo Jacobs | operation insert count 11 | operation find count = 19
Bokamoso Mnisi | operation insert count 10 | operation find count = 21
Oratile Radebe | operation insert count 13 | operation find count = 23
Esihle Witbooi | operation insert count 12 | operation find count = 25
Luphawu Louw | operation insert count 12 | operation find count = 17
Likuwe Ngcobo | operation insert count 12 | operation find count = 23
Noah Mthembu | operation insert count 11 | operation find count = 21
Nkosenhle Tsotetsi | operation insert count 12 | operation find count = 17
Othalive Ngobeni | operation insert count 12 | operation find count = 25
Luthando Mathebula | operation insert count 12 | operation find count = 23
Iminathi Nhlapo | operation insert count 11 | operation find count = 23
Ofentse Mnisi | operation insert count 13 | operation find count = 23
Philasande Hendricks | operation insert count 9 | operation find count = 17
Bokamoso Peter | operation insert count 12 | operation find count = 25
Onthatile Cloete | operation insert count 10 | operation find count = 15
Bayanda Baloyi | operation insert count 9 | operation find count = 19
Kamohelo Witbooi | operation insert count 12 | operation find count = 21
Iminathi Mosia | operation insert count 11 | operation find count = 21
Thandolwethu Mudau | operation insert count 11 | operation find count = 23
Amogelang Peter | operation insert count 11 | operation find count = 23
Luphawu Witbooi | operation insert count 12 | operation find count = 23
Faith Williams | operation insert count 10 | operation find count = 21
Alwande Maluleke | operation insert count 14 | operation find count = 21
Karabo Sithole | operation insert count 12 | operation find count = 19
Ayabonga Williams | operation insert count 12 | operation find count = 21
Bandile Gumede | operation insert count 10 | operation find count = 17
Omphile Motloung | operation insert count 13 | operation find count = 21
Jayden Tshabalala | operation insert count 12 | operation find count = 21
Mia Williams | operation insert count 11 | operation find count = 19
Bokamoso Louw | operation insert count 13 | operation find count = 25
Lubanzi Modise | operation insert count 10 | operation find count = 21
Omphile Mthembu | operation insert count 11 | operation find count = 15
Sphesihle Nhlapo | operation insert count 8 | operation find count = 19
Esihle Gumede | operation insert count 12 | operation find count = 19
Ofentse Nkosi | operation insert count 12 | operation find count = 25
Reneilwe Cloete | operation insert count 11 | operation find count = 19
Omphile Moeng | operation insert count 11 | operation find count = 15
Bonolo Booi | operation insert count 10 | operation find count = 23
Enzokuhle Mudau | operation insert count 12 | operation find count = 21
Luthando Booi | operation insert count 11 | operation find count = 25
Likuwe Mogale | operation insert count 9 | operation find count = 19
